cid,Source,pid,utid,uid,Type,ApplicationDate,StartDate,EndDate,LeaseTerm,SignedDate,MoveInDate,MoveOutDate,lid
549,Source1,3333,111,11119,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,1293
549,Source1,3333,111,11119,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,1294
549,Source1,3333,111,11119,Renewal,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,1295
549,Source1,3333,111,11119,Renewal,2020-06-01,2020-06-01,2021-06-01,12,2020-06-01,2020-06-01,2021-06-01,1296
550,Source1,3333,111,11119,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1297
551,Source1,3333,111,11120,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,1298
552,Source1,3333,111,11120,Application,2013-06-01,2013-06-01,2015-06-01,24,2013-06-01,2013-06-01,2015-06-01,1299
552,Source1,3333,111,11120,Renewal,2015-06-01,2015-06-01,2017-06-01,24,2015-06-01,2015-06-01,2017-06-01,1300
552,Source1,3333,111,11120,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,1301
552,Source1,3333,111,11120,Renewal,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,1302
552,Source1,3333,111,11120,Renewal,2020-06-01,2020-06-01,2021-06-01,12,2020-06-01,2020-06-01,2021-06-01,1303
552,Source1,3333,111,11120,Renewal,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1304
553,Source1,3333,111,11121,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,1305
554,Source1,3333,111,11121,Application,2013-06-01,2013-06-01,2014-12-01,18,2013-06-01,2013-06-01,2014-12-01,1306
555,Source1,3333,111,11121,Application,2014-12-01,2014-12-01,2016-06-01,18,2014-12-01,2014-12-01,2016-06-01,1307
555,Source1,3333,111,11121,Renewal,2016-06-01,2016-06-01,2017-06-01,12,2016-06-01,2016-06-01,2017-06-01,1308
555,Source1,3333,111,11121,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,1309
555,Source1,3333,111,11121,Renewal,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,1310
556,Source1,3333,111,11121,Application,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,1311
556,Source1,3333,111,11121,Renewal,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1312
557,Source1,3333,111,11122,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,1313
558,Source1,3333,111,11122,Application,2013-06-01,2013-06-01,2014-12-01,18,2013-06-01,2013-06-01,2014-12-01,1314
558,Source1,3333,111,11122,Renewal,2014-12-01,2014-12-01,2016-12-01,24,2014-12-01,2014-12-01,2016-12-01,1315
559,Source1,3333,111,11122,Application,2016-12-01,2016-12-01,2018-12-01,24,2016-12-01,2016-12-01,2018-12-01,1316
559,Source1,3333,111,11122,Renewal,2018-12-01,2018-12-01,2020-12-01,24,2018-12-01,2018-12-01,2020-12-01,1317
559,Source1,3333,111,11122,Renewal,2020-12-01,2020-12-01,2022-06-01,18,2020-12-01,2020-12-01,,1318
560,Source1,3333,111,11123,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,1319
561,Source1,3333,111,11123,Application,2011-06-01,2011-06-01,2013-06-01,24,2011-06-01,2011-06-01,2013-06-01,1320
561,Source1,3333,111,11123,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,1321
561,Source1,3333,111,11123,Renewal,2014-06-01,2014-06-01,2016-06-01,24,2014-06-01,2014-06-01,2016-06-01,1322
561,Source1,3333,111,11123,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,1323
561,Source1,3333,111,11123,Renewal,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,1324
561,Source1,3333,111,11123,Renewal,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,1325
561,Source1,3333,111,11123,Renewal,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1326
562,Source1,3333,111,11124,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,1327
562,Source1,3333,111,11124,Renewal,2011-06-01,2011-06-01,2012-06-01,12,2011-06-01,2011-06-01,2012-06-01,1328
562,Source1,3333,111,11124,Renewal,2012-06-01,2012-06-01,2014-06-01,24,2012-06-01,2012-06-01,2014-06-01,1329
563,Source1,3333,111,11124,Application,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,1330
563,Source1,3333,111,11124,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,1331
564,Source1,3333,111,11124,Application,2016-06-01,2016-06-01,2019-06-01,36,2016-06-01,2016-06-01,2019-06-01,1332
564,Source1,3333,111,11124,Renewal,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,1333
565,Source1,3333,111,11124,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1334
566,Source1,3333,111,11125,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,1335
567,Source1,3333,111,11125,Application,2012-06-01,2012-06-01,2013-06-01,12,2012-06-01,2012-06-01,2013-06-01,1336
567,Source1,3333,111,11125,Renewal,2013-06-01,2013-06-01,2015-06-01,24,2013-06-01,2013-06-01,2015-06-01,1337
567,Source1,3333,111,11125,Renewal,2015-06-01,2015-06-01,2017-06-01,24,2015-06-01,2015-06-01,2017-06-01,1338
567,Source1,3333,111,11125,Renewal,2017-06-01,2017-06-01,2019-06-01,24,2017-06-01,2017-06-01,2019-06-01,1339
567,Source1,3333,111,11125,Renewal,2019-06-01,2019-06-01,2020-06-01,12,2019-06-01,2019-06-01,2020-06-01,1340
567,Source1,3333,111,11125,Renewal,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,1341
568,Source1,3333,111,11126,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,1342
568,Source1,3333,111,11126,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,1343
569,Source1,3333,111,11126,Application,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,1344
569,Source1,3333,111,11126,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,1345
570,Source1,3333,111,11126,Application,2016-06-01,2016-06-01,2017-06-01,12,2016-06-01,2016-06-01,2017-06-01,1346
570,Source1,3333,111,11126,Renewal,2017-06-01,2017-06-01,2019-06-01,24,2017-06-01,2017-06-01,2019-06-01,1347
570,Source1,3333,111,11126,Renewal,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,1348
570,Source1,3333,111,11126,Renewal,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1349
571,Source1,3333,111,11127,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,1350
571,Source1,3333,111,11127,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,1351
572,Source1,3333,111,11127,Application,2014-06-01,2014-06-01,2016-06-01,24,2014-06-01,2014-06-01,2016-06-01,1352
573,Source1,3333,111,11127,Application,2016-06-01,2016-06-01,2019-06-01,36,2016-06-01,2016-06-01,2019-06-01,1353
574,Source1,3333,111,11127,Application,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,1354
574,Source1,3333,111,11127,Renewal,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1355
575,Source1,3333,111,11128,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,1356
575,Source1,3333,111,11128,Renewal,2012-06-01,2012-06-01,2014-06-01,24,2012-06-01,2012-06-01,2014-06-01,1357
575,Source1,3333,111,11128,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,1358
575,Source1,3333,111,11128,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,1359
575,Source1,3333,111,11128,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,1360
575,Source1,3333,111,11128,Renewal,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,1361
576,Source1,3333,111,11128,Application,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,1362
577,Source1,3333,111,11129,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,1363
577,Source1,3333,111,11129,Renewal,2011-06-01,2011-06-01,2012-06-01,12,2011-06-01,2011-06-01,2012-06-01,1364
577,Source1,3333,111,11129,Renewal,2012-06-01,2012-06-01,2014-06-01,24,2012-06-01,2012-06-01,2014-06-01,1365
577,Source1,3333,111,11129,Renewal,2014-06-01,2014-06-01,2016-06-01,24,2014-06-01,2014-06-01,2016-06-01,1366
577,Source1,3333,111,11129,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,1367
577,Source1,3333,111,11129,Renewal,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,1368
577,Source1,3333,111,11129,Renewal,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,1369
578,Source1,3333,111,11129,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1370
579,Source1,3333,111,11130,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,1371
579,Source1,3333,111,11130,Renewal,2011-12-01,2011-12-01,2012-12-01,12,2011-12-01,2011-12-01,2012-12-01,1372
580,Source1,3333,111,11130,Application,2012-12-01,2012-12-01,2014-12-01,24,2012-12-01,2012-12-01,2014-12-01,1373
580,Source1,3333,111,11130,Renewal,2014-12-01,2014-12-01,2016-12-01,24,2014-12-01,2014-12-01,2016-12-01,1374
581,Source1,3333,111,11130,Application,2016-12-01,2016-12-01,2017-12-01,12,2016-12-01,2016-12-01,2017-12-01,1375
582,Source1,3333,111,11130,Application,2017-12-01,2017-12-01,2019-12-01,24,2017-12-01,2017-12-01,2019-12-01,1376
583,Source1,3333,111,11130,Application,2019-12-01,2019-12-01,2021-06-01,18,2019-12-01,2019-12-01,2021-06-01,1377
584,Source1,3333,111,11130,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1378
585,Source1,3333,111,11131,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,1379
586,Source1,3333,111,11131,Application,2011-06-01,2011-06-01,2012-06-01,12,2011-06-01,2011-06-01,2012-06-01,1380
586,Source1,3333,111,11131,Renewal,2012-06-01,2012-06-01,2014-06-01,24,2012-06-01,2012-06-01,2014-06-01,1381
586,Source1,3333,111,11131,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,1382
586,Source1,3333,111,11131,Renewal,2015-06-01,2015-06-01,2017-06-01,24,2015-06-01,2015-06-01,2017-06-01,1383
586,Source1,3333,111,11131,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,1384
587,Source1,3333,111,11131,Application,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,1385
588,Source1,3333,111,11131,Application,2019-06-01,2019-06-01,2022-06-01,36,2019-06-01,2019-06-01,,1386
589,Source1,3333,111,11132,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,1387
589,Source1,3333,111,11132,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,1388
589,Source1,3333,111,11132,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,1389
589,Source1,3333,111,11132,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,1390
589,Source1,3333,111,11132,Renewal,2016-06-01,2016-06-01,2017-06-01,12,2016-06-01,2016-06-01,2017-06-01,1391
589,Source1,3333,111,11132,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,1392
589,Source1,3333,111,11132,Renewal,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,1393
589,Source1,3333,111,11132,Renewal,2019-06-01,2019-06-01,2020-06-01,12,2019-06-01,2019-06-01,2020-06-01,1394
589,Source1,3333,111,11132,Renewal,2020-06-01,2020-06-01,2021-06-01,12,2020-06-01,2020-06-01,2021-06-01,1395
589,Source1,3333,111,11132,Renewal,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1396
590,Source1,3333,111,11133,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,1397
590,Source1,3333,111,11133,Renewal,2011-12-01,2011-12-01,2012-12-01,12,2011-12-01,2011-12-01,2012-12-01,1398
590,Source1,3333,111,11133,Renewal,2012-12-01,2012-12-01,2013-12-01,12,2012-12-01,2012-12-01,2013-12-01,1399
590,Source1,3333,111,11133,Renewal,2013-12-01,2013-12-01,2014-12-01,12,2013-12-01,2013-12-01,2014-12-01,1400
590,Source1,3333,111,11133,Renewal,2014-12-01,2014-12-01,2015-12-01,12,2014-12-01,2014-12-01,2015-12-01,1401
590,Source1,3333,111,11133,Renewal,2015-12-01,2015-12-01,2017-12-01,24,2015-12-01,2015-12-01,2017-12-01,1402
590,Source1,3333,111,11133,Renewal,2017-12-01,2017-12-01,2018-12-01,12,2017-12-01,2017-12-01,2018-12-01,1403
590,Source1,3333,111,11133,Renewal,2018-12-01,2018-12-01,2020-12-01,24,2018-12-01,2018-12-01,2020-12-01,1404
591,Source1,3333,111,11133,Application,2020-12-01,2020-12-01,2022-06-01,18,2020-12-01,2020-12-01,,1405
592,Source1,3333,111,11134,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,1406
592,Source1,3333,111,11134,Renewal,2011-12-01,2011-12-01,2012-12-01,12,2011-12-01,2011-12-01,2012-12-01,1407
592,Source1,3333,111,11134,Renewal,2012-12-01,2012-12-01,2013-12-01,12,2012-12-01,2012-12-01,2013-12-01,1408
593,Source1,3333,111,11134,Application,2013-12-01,2013-12-01,2014-12-01,12,2013-12-01,2013-12-01,2014-12-01,1409
594,Source1,3333,111,11134,Application,2014-12-01,2014-12-01,2017-12-01,36,2014-12-01,2014-12-01,2017-12-01,1410
594,Source1,3333,111,11134,Renewal,2017-12-01,2017-12-01,2018-12-01,12,2017-12-01,2017-12-01,2018-12-01,1411
594,Source1,3333,111,11134,Renewal,2018-12-01,2018-12-01,2019-12-01,12,2018-12-01,2018-12-01,2019-12-01,1412
595,Source1,3333,111,11134,Application,2019-12-01,2019-12-01,2021-06-01,18,2019-12-01,2019-12-01,2021-06-01,1413
595,Source1,3333,111,11134,Renewal,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1414
596,Source1,3333,111,11135,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,1415
596,Source1,3333,111,11135,Renewal,2011-12-01,2011-12-01,2012-12-01,12,2011-12-01,2011-12-01,2012-12-01,1416
596,Source1,3333,111,11135,Renewal,2012-12-01,2012-12-01,2014-12-01,24,2012-12-01,2012-12-01,2014-12-01,1417
597,Source1,3333,111,11135,Application,2014-12-01,2014-12-01,2016-06-01,18,2014-12-01,2014-12-01,2016-06-01,1418
597,Source1,3333,111,11135,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,1419
597,Source1,3333,111,11135,Renewal,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,1420
597,Source1,3333,111,11135,Renewal,2019-06-01,2019-06-01,2021-06-01,24,2019-06-01,2019-06-01,2021-06-01,1421
598,Source1,3333,111,11135,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1422
599,Source1,3333,111,11136,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,1423
600,Source1,3333,111,11136,Application,2011-06-01,2011-06-01,2014-06-01,36,2011-06-01,2011-06-01,2014-06-01,1424
600,Source1,3333,111,11136,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,1425
600,Source1,3333,111,11136,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,1426
600,Source1,3333,111,11136,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,1427
601,Source1,3333,111,11136,Application,2018-06-01,2018-06-01,2021-06-01,36,2018-06-01,2018-06-01,2021-06-01,1428
602,Source1,3333,111,11136,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1429
603,Source1,3333,111,11137,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,1430
603,Source1,3333,111,11137,Renewal,2011-12-01,2011-12-01,2013-12-01,24,2011-12-01,2011-12-01,2013-12-01,1431
603,Source1,3333,111,11137,Renewal,2013-12-01,2013-12-01,2014-12-01,12,2013-12-01,2013-12-01,2014-12-01,1432
603,Source1,3333,111,11137,Renewal,2014-12-01,2014-12-01,2016-12-01,24,2014-12-01,2014-12-01,2016-12-01,1433
604,Source1,3333,111,11137,Application,2016-12-01,2016-12-01,2017-12-01,12,2016-12-01,2016-12-01,2017-12-01,1434
604,Source1,3333,111,11137,Renewal,2017-12-01,2017-12-01,2019-12-01,24,2017-12-01,2017-12-01,2019-12-01,1435
605,Source1,3333,111,11137,Application,2019-12-01,2019-12-01,2021-06-01,18,2019-12-01,2019-12-01,2021-06-01,1436
605,Source1,3333,111,11137,Renewal,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1437
606,Source1,3333,111,11138,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,1438
606,Source1,3333,111,11138,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,1439
607,Source1,3333,111,11138,Application,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,1440
607,Source1,3333,111,11138,Renewal,2015-06-01,2015-06-01,2017-06-01,24,2015-06-01,2015-06-01,2017-06-01,1441
607,Source1,3333,111,11138,Renewal,2017-06-01,2017-06-01,2018-06-01,12,2017-06-01,2017-06-01,2018-06-01,1442
607,Source1,3333,111,11138,Renewal,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,1443
608,Source1,3333,111,11138,Application,2019-06-01,2019-06-01,2020-06-01,12,2019-06-01,2019-06-01,2020-06-01,1444
608,Source1,3333,111,11138,Renewal,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,1445
609,Source1,3333,111,11139,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,1446
609,Source1,3333,111,11139,Renewal,2011-06-01,2011-06-01,2013-06-01,24,2011-06-01,2011-06-01,2013-06-01,1447
610,Source1,3333,111,11139,Application,2013-06-01,2013-06-01,2015-06-01,24,2013-06-01,2013-06-01,2015-06-01,1448
610,Source1,3333,111,11139,Renewal,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,1449
610,Source1,3333,111,11139,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,1450
611,Source1,3333,111,11139,Application,2018-06-01,2018-06-01,2019-12-01,18,2018-06-01,2018-06-01,2019-12-01,1451
611,Source1,3333,111,11139,Renewal,2019-12-01,2019-12-01,2020-12-01,12,2019-12-01,2019-12-01,2020-12-01,1452
611,Source1,3333,111,11139,Renewal,2020-12-01,2020-12-01,2021-12-01,12,2020-12-01,2020-12-01,,1453
611,Source1,3333,111,11139,Renewal,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,1454
612,Source1,3333,111,11140,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,1455
613,Source1,3333,111,11140,Application,2011-06-01,2011-06-01,2012-06-01,12,2011-06-01,2011-06-01,2012-06-01,1456
613,Source1,3333,111,11140,Renewal,2012-06-01,2012-06-01,2013-06-01,12,2012-06-01,2012-06-01,2013-06-01,1457
614,Source1,3333,111,11140,Application,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,1458
614,Source1,3333,111,11140,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,1459
615,Source1,3333,111,11140,Application,2015-06-01,2015-06-01,2016-06-01,12,2015-06-01,2015-06-01,2016-06-01,1460
615,Source1,3333,111,11140,Renewal,2016-06-01,2016-06-01,2018-06-01,24,2016-06-01,2016-06-01,2018-06-01,1461
615,Source1,3333,111,11140,Renewal,2018-06-01,2018-06-01,2019-06-01,12,2018-06-01,2018-06-01,2019-06-01,1462
616,Source1,3333,111,11140,Application,2019-06-01,2019-06-01,2020-12-01,18,2019-06-01,2019-06-01,2020-12-01,1463
617,Source1,3333,111,11140,Application,2020-12-01,2020-12-01,2022-06-01,18,2020-12-01,2020-12-01,,1464
618,Source1,3333,111,11141,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,1465
619,Source1,3333,111,11141,Application,2011-12-01,2011-12-01,2013-12-01,24,2011-12-01,2011-12-01,2013-12-01,1466
619,Source1,3333,111,11141,Renewal,2013-12-01,2013-12-01,2015-12-01,24,2013-12-01,2013-12-01,2015-12-01,1467
619,Source1,3333,111,11141,Renewal,2015-12-01,2015-12-01,2017-12-01,24,2015-12-01,2015-12-01,2017-12-01,1468
619,Source1,3333,111,11141,Renewal,2017-12-01,2017-12-01,2019-12-01,24,2017-12-01,2017-12-01,2019-12-01,1469
620,Source1,3333,111,11141,Application,2019-12-01,2019-12-01,2022-06-01,30,2019-12-01,2019-12-01,,1470
621,Source1,3333,111,11142,Application,2010-06-01,2010-06-01,2013-06-01,36,2010-06-01,2010-06-01,2013-06-01,1471
621,Source1,3333,111,11142,Renewal,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,1472
621,Source1,3333,111,11142,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,1473
622,Source1,3333,111,11142,Application,2015-06-01,2015-06-01,2017-06-01,24,2015-06-01,2015-06-01,2017-06-01,1474
622,Source1,3333,111,11142,Renewal,2017-06-01,2017-06-01,2019-06-01,24,2017-06-01,2017-06-01,2019-06-01,1475
622,Source1,3333,111,11142,Renewal,2019-06-01,2019-06-01,2020-06-01,12,2019-06-01,2019-06-01,2020-06-01,1476
622,Source1,3333,111,11142,Renewal,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,1477
623,Source1,3333,111,11143,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,1478
623,Source1,3333,111,11143,Renewal,2012-06-01,2012-06-01,2014-06-01,24,2012-06-01,2012-06-01,2014-06-01,1479
623,Source1,3333,111,11143,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,1480
624,Source1,3333,111,11143,Application,2015-06-01,2015-06-01,2016-12-01,18,2015-06-01,2015-06-01,2016-12-01,1481
624,Source1,3333,111,11143,Renewal,2016-12-01,2016-12-01,2018-12-01,24,2016-12-01,2016-12-01,2018-12-01,1482
625,Source1,3333,111,11143,Application,2018-12-01,2018-12-01,2020-06-01,18,2018-12-01,2018-12-01,2020-06-01,1483
626,Source1,3333,111,11143,Application,2020-06-01,2020-06-01,2022-06-01,24,2020-06-01,2020-06-01,,1484
627,Source1,3333,111,11144,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,1485
627,Source1,3333,111,11144,Renewal,2011-12-01,2011-12-01,2013-12-01,24,2011-12-01,2011-12-01,2013-12-01,1486
627,Source1,3333,111,11144,Renewal,2013-12-01,2013-12-01,2015-12-01,24,2013-12-01,2013-12-01,2015-12-01,1487
627,Source1,3333,111,11144,Renewal,2015-12-01,2015-12-01,2017-12-01,24,2015-12-01,2015-12-01,2017-12-01,1488
627,Source1,3333,111,11144,Renewal,2017-12-01,2017-12-01,2018-12-01,12,2017-12-01,2017-12-01,2018-12-01,1489
627,Source1,3333,111,11144,Renewal,2018-12-01,2018-12-01,2020-12-01,24,2018-12-01,2018-12-01,2020-12-01,1490
627,Source1,3333,111,11144,Renewal,2020-12-01,2020-12-01,2021-12-01,12,2020-12-01,2020-12-01,,1491
627,Source1,3333,111,11144,Renewal,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,1492
628,Source1,3333,111,11145,Application,2010-06-01,2010-06-01,2011-06-01,12,2010-06-01,2010-06-01,2011-06-01,1493
629,Source1,3333,111,11145,Application,2011-06-01,2011-06-01,2014-06-01,36,2011-06-01,2011-06-01,2014-06-01,1494
629,Source1,3333,111,11145,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,1495
630,Source1,3333,111,11145,Application,2015-06-01,2015-06-01,2018-06-01,36,2015-06-01,2015-06-01,2018-06-01,1496
630,Source1,3333,111,11145,Renewal,2018-06-01,2018-06-01,2020-06-01,24,2018-06-01,2018-06-01,2020-06-01,1497
631,Source1,3333,111,11145,Application,2020-06-01,2020-06-01,2021-06-01,12,2020-06-01,2020-06-01,2021-06-01,1498
632,Source1,3333,111,11145,Application,2021-06-01,2021-06-01,2022-06-01,12,2021-06-01,2021-06-01,,1499
633,Source1,3333,111,11146,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,1500
634,Source1,3333,111,11146,Application,2012-06-01,2012-06-01,2013-06-01,12,2012-06-01,2012-06-01,2013-06-01,1501
635,Source1,3333,111,11146,Application,2013-06-01,2013-06-01,2014-06-01,12,2013-06-01,2013-06-01,2014-06-01,1502
636,Source1,3333,111,11146,Application,2014-06-01,2014-06-01,2015-12-01,18,2014-06-01,2014-06-01,2015-12-01,1503
637,Source1,3333,111,11146,Application,2015-12-01,2015-12-01,2016-12-01,12,2015-12-01,2015-12-01,2016-12-01,1504
638,Source1,3333,111,11146,Application,2016-12-01,2016-12-01,2018-12-01,24,2016-12-01,2016-12-01,2018-12-01,1505
638,Source1,3333,111,11146,Renewal,2018-12-01,2018-12-01,2019-12-01,12,2018-12-01,2018-12-01,2019-12-01,1506
638,Source1,3333,111,11146,Renewal,2019-12-01,2019-12-01,2020-12-01,12,2019-12-01,2019-12-01,2020-12-01,1507
639,Source1,3333,111,11146,Application,2020-12-01,2020-12-01,2022-06-01,18,2020-12-01,2020-12-01,,1508
